road_id,road_name,area,zone,ward,latitude,longitude,road_type,pavement_type,length_km,road_age_years,years_since_last_repair,potholes_per_km,avg_pothole_severity_1_5,crack_percent,surface_distress_index,roughness_iri,drainage_score_0_100,waterlogging_days_per_year,traffic_pcu_per_day,heavy_vehicle_percent,bus_route,near_school_hospital,accident_count_3y,complaints_90d,flood_vulnerability_0_100,civic_importance_0_100,priority_score,priority_label,recommended_action,estimated_cost_cr,recommendation_reason,future_score_12m,future_label_12m,optimization_benefit,condition_score,usage_score,safety_score,drainage_score,civic_score
CHN-RD-035,Velachery Canal Bank Road,Velachery,13,177,12.960851,80.216905,interior,bituminous,2.93,6,1,9,3.1,6.3,38.4,3.3,76.0,4.0,4665,10.3,0,0,0,31,15.2,70.0,25.69,Low,pothole patching,0.53,localized pothole damage can be repaired quickly,29.64,Low,27.85,32.05,10.57,18.74,17.63,52.5
CHN-RD-040,Velachery High Road,Velachery,13,177,12.972964,80.226644,interior,bituminous,2.24,11,6,7,2.4,22.7,34.2,2.8,90.0,1.0,12287,7.2,0,0,1,11,4.5,78.0,25.18,Low,pothole patching,0.4,localized pothole damage can be repaired quickly,29.05,Low,20.45,33.72,14.0,12.18,6.02,58.5
CHN-RD-057,Kodambakkam Link Road,Kodambakkam,10,133,13.059944,80.232708,interior,bituminous,1.25,9,7,2,1.0,32.6,43.3,5.1,36.0,7.0,6015,25.3,0,0,0,3,47.2,57.0,24.97,Low,preventive maintenance,0.15,"road is not critical yet, but early treatment prevents decline",29.2,Low,8.57,24.5,17.4,14.74,44.73,42.75
CHN-RD-018,Adyar 1st Street,Adyar,13,174,12.996599,80.25529,interior,bituminous,2.22,14,0,8,1.4,10.8,37.4,4.3,77.0,0.0,5888,6.2,0,0,5,26,13.3,89.0,24.92,Low,pothole patching,0.4,localized pothole damage can be repaired quickly,28.02,Low,19.85,21.99,9.68,31.54,12.04,66.75
CHN-RD-038,T Nagar Market Road,T Nagar,10,135,13.030073,80.217986,interior,bituminous,3.76,7,1,5,1.7,3.5,25.5,3.1,64.0,5.0,11580,15.5,0,1,2,14,33.7,80.0,24.68,Low,preventive maintenance,0.45,"road is not critical yet, but early treatment prevents decline",28.61,Low,25.19,16.62,16.88,16.5,28.54,85.0
CHN-RD-076,Mylapore Market Road,Mylapore,9,122,13.029245,80.266601,interior,bituminous,1.08,7,1,4,1.9,24.1,19.2,4.1,74.0,8.0,10346,7.5,0,0,5,10,34.8,80.0,24.42,Low,preventive maintenance,0.13,"road is not critical yet, but early treatment prevents decline",28.84,Low,7.08,19.79,12.93,25.15,28.87,60.0
CHN-RD-007,Kodambakkam High Road,Kodambakkam,10,131,13.041297,80.226806,interior,bituminous,1.09,5,5,6,1.2,24.2,27.8,4.6,84.0,6.0,11855,9.3,0,0,2,11,11.4,63.0,23.16,Low,pothole patching,0.2,localized pothole damage can be repaired quickly,27.49,Low,8.42,24.57,14.57,20.43,16.02,47.25
CHN-RD-001,Royapuram Market Road,Royapuram,5,49,13.101297,80.31186,interior,bituminous,1.19,5,5,6,1.4,33.1,24.7,3.6,37.0,11.0,4179,3.9,0,0,1,10,44.4,40.0,23.08,Low,pothole patching,0.21,localized pothole damage can be repaired quickly,27.91,Low,9.13,27.05,7.72,14.49,48.2,30.0
CHN-RD-067,Guindy 2nd Avenue,Guindy,13,170,13.002475,80.19983,interior,bituminous,2.37,8,0,5,1.0,16.3,36.0,3.9,32.0,15.0,13474,11.5,0,0,2,12,61.0,45.0,23.03,Low,preventive maintenance,0.28,"road is not critical yet, but early treatment prevents decline",28.54,Low,13.83,16.79,16.44,18.45,59.6,33.75
CHN-RD-002,Anna Nagar 1st Street,Anna Nagar,8,103,13.076611,80.22582,interior,bituminous,1.54,9,0,1,1.0,12.2,40.0,4.0,73.0,5.0,10027,19.7,0,1,0,9,22.1,87.0,21.76,Low,preventive maintenance,0.18,"road is not critical yet, but early treatment prevents decline",25.45,Low,8.02,10.95,17.61,13.21,21.91,90.25
CHN-RD-050,Adyar Canal Bank Road,Adyar,13,173,12.998962,80.267072,interior,bituminous,3.14,16,3,5,1.0,28.7,52.8,5.8,93.0,6.0,8526,10.9,0,0,3,6,14.3,33.0,21.64,Low,preventive maintenance,0.38,"road is not critical yet, but early treatment prevents decline",25.85,Low,16.17,25.43,13.18,24.89,13.74,24.75
CHN-RD-021,Nungambakkam School Road,Nungambakkam,9,109,13.065317,80.259257,interior,bituminous,3.22,8,1,3,1.8,23.9,23.3,4.7,76.0,0.0,13922,14.2,0,0,2,0,11.0,78.0,21.36,Low,preventive maintenance,0.39,"road is not critical yet, but early treatment prevents decline",24.69,Low,16.16,18.54,17.8,16.83,11.7,58.5
CHN-RD-029,Velachery Station Road,Velachery,13,176,12.974044,80.207907,collector,bituminous,5.69,4,0,2,1.4,17.2,29.8,2.8,62.0,8.0,16841,15.9,0,0,0,13,37.0,73.0,21.12,Low,preventive maintenance,0.68,"road is not critical yet, but early treatment prevents decline",25.63,Low,27.92,13.74,23.26,10.64,33.73,54.75
CHN-RD-034,Thiruvanmiyur Main Road,Thiruvanmiyur,13,179,12.99589,80.244301,interior,bituminous,1.59,10,4,9,1.7,15.7,50.8,2.1,69.0,0.0,2859,3.6,0,0,1,14,19.9,37.0,20.91,Low,pothole patching,0.29,localized pothole damage can be repaired quickly,24.2,Low,10.01,32.27,6.79,10.92,16.82,27.75
CHN-RD-072,Nungambakkam School Road,Nungambakkam,9,111,13.043484,80.259734,interior,cement_concrete,3.57,3,3,0,1.0,28.4,9.4,4.4,79.0,6.0,3019,1.5,0,1,2,0,23.6,99.0,20.84,Low,preventive maintenance,0.43,"road is not critical yet, but early treatment prevents decline",24.39,Low,17.06,10.99,6.05,15.83,21.43,99.25
CHN-RD-085,Nungambakkam Canal Bank Road,Nungambakkam,9,111,13.061874,80.227559,interior,bituminous,3.22,3,3,2,1.6,5.2,30.7,3.0,93.0,4.0,13526,2.0,0,1,1,0,13.3,89.0,20.68,Low,preventive maintenance,0.39,"road is not critical yet, but early treatment prevents decline",24.49,Low,15.15,15.19,12.67,8.92,11.11,91.75
CHN-RD-071,Perambur Main Road,Perambur,6,71,13.110844,80.217229,interior,bituminous,3.46,7,2,7,1.8,24.4,38.8,2.7,87.0,7.0,5195,1.3,0,0,4,11,15.3,22.0,19.71,Low,pothole patching,0.62,localized pothole damage can be repaired quickly,24.01,Low,19.36,27.89,7.3,18.6,17.31,16.5
CHN-RD-078,Kodambakkam 2nd Avenue,Kodambakkam,10,133,13.069589,80.208117,collector,cement_concrete,4.64,3,0,5,2.1,12.0,13.5,4.1,94.0,2.0,22513,25.5,0,0,1,19,5.1,22.0,19.23,Low,preventive maintenance,0.56,"road is not critical yet, but early treatment prevents decline",23.18,Low,18.87,17.5,30.57,19.37,5.96,16.5
CHN-RD-025,T Nagar Link Road,T Nagar,10,135,13.030057,80.218802,interior,bituminous,3.62,3,1,5,1.0,10.5,18.2,2.6,91.0,7.0,4440,2.0,0,1,0,14,11.5,70.0,18.1,Low,preventive maintenance,0.43,"road is not critical yet, but early treatment prevents decline",21.94,Low,13.05,13.46,7.12,10.33,14.77,77.5
CHN-RD-088,Royapuram Market Road,Royapuram,5,50,13.109691,80.291532,interior,bituminous,1.84,1,0,1,1.7,22.1,24.4,1.2,89.0,3.0,9865,10.1,0,0,3,0,16.7,87.0,17.59,Low,preventive maintenance,0.22,"road is not critical yet, but early treatment prevents decline",21.07,Low,6.26,14.02,13.68,7.42,12.36,65.25
CHN-RD-012,Velachery Link Road,Velachery,13,177,12.958492,80.229216,interior,bituminous,2.36,5,3,5,1.7,13.4,31.0,4.1,90.0,0.0,4588,12.6,0,0,0,8,12.4,40.0,17.36,Low,preventive maintenance,0.28,"road is not critical yet, but early treatment prevents decline",20.4,Low,7.82,21.79,11.45,13.19,7.22,30.0
CHN-RD-004,Mylapore Market Road,Mylapore,9,122,13.026466,80.257394,interior,bituminous,2.11,3,0,0,1.0,18.3,15.3,3.1,90.0,1.0,4296,8.6,0,0,0,0,7.7,54.0,10.77,Low,preventive maintenance,0.25,"road is not critical yet, but early treatment prevents decline",13.5,Low,2.69,6.72,9.67,7.0,6.98,40.5
